,Date,Round,Home Team,Away Team,Home Score,Away Score,Winner,Season
0,2000-03-08 18:40:00,1,Richmond,Melbourne,94,92,Home,2000
1,2000-03-09 19:15:00,1,Essendon,Port Adelaide,156,62,Home,2000
2,2000-03-10 18:40:00,1,North Melbourne,West Coast,111,154,Away,2000
3,2000-03-11 14:20:00,1,Adelaide,Western Bulldogs,108,131,Away,2000
4,2000-03-11 19:40:00,1,Fremantle,Geelong,107,129,Away,2000
5,2000-03-12 18:40:00,1,St Kilda,Sydney,100,134,Away,2000
6,2000-03-13 13:10:00,1,Carlton,Brisbane Lions,152,112,Home,2000
7,2000-03-13 13:10:00,1,Hawthorn,Collingwood,86,140,Away,2000
8,2000-03-16 18:40:00,2,Essendon,Richmond,130,87,Home,2000
9,2000-03-17 18:40:00,2,Melbourne,North Melbourne,145,120,Home,2000
10,2000-03-18 13:10:00,2,Geelong,St Kilda,139,99,Home,2000
11,2000-03-18 18:40:00,2,Port Adelaide,Fremantle,87,125,Away,2000
12,2000-03-19 11:10:00,2,Carlton,Hawthorn,154,112,Home,2000
13,2000-03-19 13:10:00,2,Collingwood,Adelaide,103,92,Home,2000
14,2000-03-19 18:40:00,2,Western Bulldogs,Brisbane Lions,110,139,Away,2000
15,2000-03-19 19:40:00,2,West Coast,Sydney,70,82,Away,2000
16,2000-03-24 18:40:00,3,Richmond,North Melbourne,134,170,Away,2000
17,2000-03-25 13:10:00,3,Hawthorn,Brisbane Lions,110,103,Home,2000
18,2000-03-25 18:40:00,3,Adelaide,Geelong,100,111,Away,2000
19,2000-03-25 18:40:00,3,St Kilda,West Coast,116,116,Draw,2000
20,2000-03-26 14:10:00,3,Collingwood,Carlton,160,87,Home,2000
21,2000-03-26 14:10:00,3,Western Bulldogs,Port Adelaide,141,94,Home,2000
22,2000-03-26 14:10:00,3,Sydney,Melbourne,126,114,Home,2000
23,2000-03-26 20:40:00,3,Fremantle,Essendon,88,124,Away,2000
24,2000-03-31 19:40:00,4,North Melbourne,Geelong,104,99,Home,2000
25,2000-04-01 14:10:00,4,Western Bulldogs,Carlton,98,59,Home,2000
26,2000-04-01 14:10:00,4,Hawthorn,Essendon,90,137,Away,2000
27,2000-04-01 19:40:00,4,Sydney,Collingwood,101,106,Away,2000
28,2000-04-01 22:10:00,4,West Coast,Adelaide,187,73,Home,2000
29,2000-04-02 14:10:00,4,Port Adelaide,Brisbane Lions,149,106,Home,2000
30,2000-04-02 14:10:00,4,Richmond,Fremantle,87,88,Away,2000
31,2000-04-02 14:10:00,4,Melbourne,St Kilda,165,75,Home,2000
32,2000-04-07 19:40:00,5,Western Bulldogs,Collingwood,110,118,Away,2000
33,2000-04-08 14:10:00,5,Essendon,Carlton,123,99,Home,2000
34,2000-04-08 19:40:00,5,Brisbane Lions,Adelaide,122,92,Home,2000
35,2000-04-08 22:10:00,5,Fremantle,Melbourne,75,106,Away,2000
36,2000-04-09 14:10:00,5,Geelong,West Coast,162,81,Home,2000
37,2000-04-09 14:10:00,5,North Melbourne,Sydney,128,120,Home,2000
38,2000-04-09 14:10:00,5,St Kilda,Richmond,84,110,Away,2000
39,2000-04-09 20:40:00,5,Port Adelaide,Hawthorn,74,113,Away,2000
40,2000-04-14 19:40:00,6,Western Bulldogs,Essendon,81,144,Away,2000
41,2000-04-15 14:10:00,6,Carlton,Port Adelaide,169,78,Home,2000
42,2000-04-15 14:10:00,6,Collingwood,North Melbourne,82,114,Away,2000
43,2000-04-15 19:40:00,6,St Kilda,Brisbane Lions,66,105,Away,2000
44,2000-04-15 20:40:00,6,West Coast,Fremantle,178,61,Home,2000
45,2000-04-16 12:40:00,6,Sydney,Richmond,106,112,Away,2000
46,2000-04-16 14:10:00,6,Geelong,Melbourne,109,84,Home,2000
47,2000-04-16 15:20:00,6,Adelaide,Hawthorn,143,57,Home,2000
48,2000-04-22 14:10:00,7,Hawthorn,Western Bulldogs,123,92,Home,2000
49,2000-04-22 19:40:00,7,Sydney,Geelong,99,108,Away,2000
50,2000-04-22 19:40:00,7,St Kilda,North Melbourne,117,129,Away,2000
51,2000-04-23 14:10:00,7,Port Adelaide,Adelaide,91,98,Away,2000
52,2000-04-23 14:10:00,7,Melbourne,West Coast,138,77,Home,2000
53,2000-04-24 14:10:00,7,Richmond,Carlton,69,120,Away,2000
54,2000-04-25 14:15:00,7,Collingwood,Essendon,100,140,Away,2000
55,2000-04-25 16:10:00,7,Fremantle,Brisbane Lions,111,100,Home,2000
56,2000-04-28 19:40:00,8,North Melbourne,Hawthorn,67,128,Away,2000
57,2000-04-29 14:10:00,8,St Kilda,Adelaide,68,108,Away,2000
58,2000-04-29 20:40:00,8,West Coast,Western Bulldogs,108,102,Home,2000
59,2000-04-30 14:10:00,8,Port Adelaide,Melbourne,86,111,Away,2000
60,2000-04-30 14:10:00,8,Carlton,Sydney,109,64,Home,2000
61,2000-04-30 14:10:00,8,Geelong,Richmond,77,147,Away,2000
62,2000-05-01 19:00:00,8,Collingwood,Fremantle,85,107,Away,2000
63,2000-05-01 19:40:00,8,Brisbane Lions,Essendon,63,127,Away,2000
64,2000-05-05 19:40:00,9,Western Bulldogs,St Kilda,105,104,Home,2000
65,2000-05-06 14:10:00,9,Hawthorn,Geelong,98,73,Home,2000
66,2000-05-06 19:40:00,9,Adelaide,North Melbourne,125,128,Away,2000
67,2000-05-06 19:40:00,9,Richmond,West Coast,79,70,Home,2000
68,2000-05-07 12:40:00,9,Brisbane Lions,Collingwood,146,117,Home,2000
69,2000-05-07 14:10:00,9,Melbourne,Essendon,93,106,Away,2000
70,2000-05-07 14:10:00,9,Sydney,Port Adelaide,111,85,Home,2000
71,2000-05-07 15:20:00,9,Fremantle,Carlton,82,147,Away,2000
72,2000-05-12 20:40:00,10,West Coast,Hawthorn,118,88,Home,2000
73,2000-05-13 14:10:00,10,Richmond,Collingwood,102,54,Home,2000
74,2000-05-13 19:40:00,10,Port Adelaide,Geelong,78,78,Draw,2000
75,2000-05-13 19:40:00,10,St Kilda,Carlton,82,109,Away,2000
76,2000-05-14 14:10:00,10,Essendon,Adelaide,132,84,Home,2000
77,2000-05-14 14:10:00,10,Western Bulldogs,Sydney,137,79,Home,2000
78,2000-05-14 14:10:00,10,North Melbourne,Fremantle,148,60,Home,2000
79,2000-05-15 19:00:00,10,Melbourne,Brisbane Lions,102,84,Home,2000
80,2000-05-19 19:40:00,11,St Kilda,Port Adelaide,117,55,Home,2000
81,2000-05-20 14:10:00,11,Carlton,North Melbourne,129,99,Home,2000
82,2000-05-20 14:10:00,11,Hawthorn,Richmond,77,80,Away,2000
83,2000-05-20 19:40:00,11,Geelong,Essendon,87,145,Away,2000
84,2000-05-20 20:40:00,11,Fremantle,Western Bulldogs,81,174,Away,2000
85,2000-05-21 12:40:00,11,Adelaide,Melbourne,105,70,Home,2000
86,2000-05-21 14:10:00,11,Collingwood,West Coast,92,128,Away,2000
87,2000-05-21 15:20:00,11,Sydney,Brisbane Lions,107,110,Away,2000
88,2000-05-26 19:40:00,12,Essendon,St Kilda,169,83,Home,2000
89,2000-05-27 14:10:00,12,Collingwood,Geelong,67,71,Away,2000
90,2000-05-27 19:40:00,12,Adelaide,Sydney,98,48,Home,2000
91,2000-05-27 19:40:00,12,Hawthorn,Fremantle,121,62,Home,2000
92,2000-05-27 19:40:00,12,Brisbane Lions,Richmond,99,111,Away,2000
93,2000-05-28 12:40:00,12,North Melbourne,Port Adelaide,76,59,Home,2000
94,2000-05-28 14:10:00,12,Western Bulldogs,Melbourne,108,83,Home,2000
95,2000-05-28 15:20:00,12,West Coast,Carlton,78,128,Away,2000
96,2000-06-02 19:40:00,13,Richmond,Adelaide,112,121,Away,2000
97,2000-06-03 14:10:00,13,Melbourne,Carlton,61,159,Away,2000
98,2000-06-03 19:40:00,13,Port Adelaide,Collingwood,89,75,Home,2000
99,2000-06-03 19:40:00,13,Brisbane Lions,West Coast,173,89,Home,2000
100,2000-06-04 12:40:00,13,Sydney,Hawthorn,109,78,Home,2000
101,2000-06-04 14:10:00,13,Essendon,North Melbourne,119,70,Home,2000
102,2000-06-04 14:10:00,13,Geelong,Western Bulldogs,126,119,Home,2000
103,2000-06-04 15:20:00,13,Fremantle,St Kilda,100,56,Home,2000
104,2000-06-09 19:40:00,14,North Melbourne,Brisbane Lions,116,112,Home,2000
105,2000-06-10 14:10:00,14,Melbourne,Collingwood,143,78,Home,2000
106,2000-06-10 20:40:00,14,West Coast,Port Adelaide,71,107,Away,2000
107,2000-06-11 14:10:00,14,Carlton,Geelong,107,97,Home,2000
108,2000-06-11 14:10:00,14,Sydney,Essendon,76,89,Away,2000
109,2000-06-11 14:10:00,14,St Kilda,Hawthorn,86,171,Away,2000
110,2000-06-11 20:40:00,14,Adelaide,Fremantle,145,72,Home,2000
111,2000-06-12 14:10:00,14,Richmond,Western Bulldogs,87,52,Home,2000
112,2000-06-16 19:40:00,15,Collingwood,St Kilda,115,82,Home,2000
113,2000-06-17 14:10:00,15,Carlton,Adelaide,120,96,Home,2000
114,2000-06-17 14:10:00,15,Geelong,Brisbane Lions,59,128,Away,2000
115,2000-06-17 14:10:00,15,Hawthorn,Melbourne,72,141,Away,2000
116,2000-06-17 19:40:00,15,Essendon,West Coast,108,76,Home,2000
117,2000-06-18 12:40:00,15,Port Adelaide,Richmond,103,75,Home,2000
118,2000-06-18 14:10:00,15,Western Bulldogs,North Melbourne,106,102,Home,2000
119,2000-06-18 15:20:00,15,Fremantle,Sydney,123,96,Home,2000
120,2000-06-23 19:40:00,16,Collingwood,Hawthorn,68,125,Away,2000
121,2000-06-24 14:10:00,16,Geelong,Fremantle,90,84,Home,2000
122,2000-06-24 14:10:00,16,Melbourne,Richmond,110,100,Home,2000
123,2000-06-24 19:40:00,16,Sydney,St Kilda,93,65,Home,2000
124,2000-06-24 20:40:00,16,Port Adelaide,Essendon,58,89,Away,2000
125,2000-06-25 12:40:00,16,Brisbane Lions,Carlton,112,156,Away,2000
126,2000-06-25 14:10:00,16,Western Bulldogs,Adelaide,135,74,Home,2000
127,2000-06-25 15:20:00,16,West Coast,North Melbourne,52,113,Away,2000
128,2000-06-30 19:40:00,17,St Kilda,Geelong,109,85,Home,2000
129,2000-07-01 14:10:00,17,Richmond,Essendon,66,167,Away,2000
130,2000-07-01 19:40:00,17,North Melbourne,Melbourne,103,102,Home,2000
131,2000-07-01 20:40:00,17,Fremantle,Port Adelaide,82,64,Home,2000
132,2000-07-02 12:40:00,17,Brisbane Lions,Western Bulldogs,138,81,Home,2000
133,2000-07-02 14:10:00,17,Hawthorn,Carlton,63,120,Away,2000
134,2000-07-02 14:10:00,17,Sydney,West Coast,151,80,Home,2000
135,2000-07-02 15:20:00,17,Adelaide,Collingwood,147,109,Home,2000
136,2000-07-07 19:40:00,18,Essendon,Fremantle,159,72,Home,2000
137,2000-07-08 14:10:00,18,Geelong,Adelaide,109,102,Home,2000
138,2000-07-08 14:10:00,18,Melbourne,Sydney,125,99,Home,2000
139,2000-07-08 19:40:00,18,North Melbourne,Richmond,134,56,Home,2000
140,2000-07-08 21:10:00,18,West Coast,St Kilda,115,29,Home,2000
141,2000-07-09 12:40:00,18,Port Adelaide,Western Bulldogs,149,106,Home,2000
142,2000-07-09 14:10:00,18,Carlton,Collingwood,180,69,Home,2000
143,2000-07-09 15:20:00,18,Brisbane Lions,Hawthorn,106,124,Away,2000
144,2000-07-14 19:40:00,19,Geelong,North Melbourne,85,124,Away,2000
145,2000-07-14 20:40:00,19,Adelaide,West Coast,107,90,Home,2000
146,2000-07-15 14:10:00,19,Carlton,Western Bulldogs,72,75,Away,2000
147,2000-07-15 19:40:00,19,Essendon,Hawthorn,165,82,Home,2000
148,2000-07-16 12:40:00,19,Brisbane Lions,Port Adelaide,120,53,Home,2000
149,2000-07-16 14:10:00,19,Collingwood,Sydney,84,104,Away,2000
150,2000-07-16 14:10:00,19,St Kilda,Melbourne,98,116,Away,2000
151,2000-07-16 15:20:00,19,Fremantle,Richmond,79,106,Away,2000
152,2000-07-21 19:40:00,20,Carlton,Essendon,83,109,Away,2000
153,2000-07-22 14:10:00,20,Hawthorn,Port Adelaide,101,80,Home,2000
154,2000-07-22 19:40:00,20,Collingwood,Western Bulldogs,91,100,Away,2000
155,2000-07-22 19:40:00,20,Sydney,North Melbourne,145,91,Home,2000
156,2000-07-22 20:40:00,20,West Coast,Geelong,78,108,Away,2000
157,2000-07-23 14:10:00,20,Adelaide,Brisbane Lions,78,115,Away,2000
158,2000-07-23 14:10:00,20,Melbourne,Fremantle,160,77,Home,2000
159,2000-07-23 14:10:00,20,Richmond,St Kilda,119,79,Home,2000
160,2000-07-28 19:40:00,21,Essendon,Western Bulldogs,81,92,Away,2000
161,2000-07-29 14:10:00,21,Hawthorn,Adelaide,98,67,Home,2000
162,2000-07-29 14:10:00,21,Richmond,Sydney,83,84,Away,2000
163,2000-07-29 19:40:00,21,Brisbane Lions,St Kilda,153,63,Home,2000
164,2000-07-30 14:10:00,21,Port Adelaide,Carlton,88,83,Home,2000
165,2000-07-30 14:10:00,21,North Melbourne,Collingwood,80,98,Away,2000
166,2000-07-30 14:10:00,21,Melbourne,Geelong,126,108,Home,2000
167,2000-07-30 15:20:00,21,Fremantle,West Coast,101,100,Home,2000
168,2000-08-04 19:40:00,22,Western Bulldogs,Hawthorn,66,81,Away,2000
169,2000-08-05 14:10:00,22,Essendon,Collingwood,97,78,Home,2000
170,2000-08-05 14:10:00,22,Geelong,Sydney,124,120,Home,2000
171,2000-08-05 19:40:00,22,Brisbane Lions,Fremantle,156,49,Home,2000
172,2000-08-05 19:40:00,22,North Melbourne,St Kilda,120,77,Home,2000
173,2000-08-06 12:40:00,22,Adelaide,Port Adelaide,92,139,Away,2000
174,2000-08-06 14:10:00,22,Carlton,Richmond,125,52,Home,2000
175,2000-08-06 15:10:00,22,West Coast,Melbourne,100,170,Away,2000
176,2000-08-11 19:45:00,23,Geelong,Hawthorn,83,92,Away,2000
177,2000-08-12 14:30:00,24,Essendon,North Melbourne,198,73,Home,2000
178,2000-08-12 19:45:00,25,Brisbane Lions,Western Bulldogs,110,76,Home,2000
179,2000-08-13 14:30:00,26,Carlton,Melbourne,87,96,Away,2000
180,2000-08-18 19:45:00,27,North Melbourne,Hawthorn,110,100,Home,2000
181,2000-08-19 14:30:00,28,Carlton,Brisbane Lions,151,69,Home,2000
182,2000-08-25 19:45:00,29,Melbourne,North Melbourne,156,106,Home,2000
183,2000-08-26 14:30:00,30,Essendon,Carlton,125,80,Home,2000
184,2000-09-02 13:45:00,31,Essendon,Melbourne,135,75,Home,2000
0,2001-03-30 19:40:00,1,North Melbourne,Essendon,61,146,Away,2001
1,2001-03-31 14:10:00,1,Hawthorn,Collingwood,85,81,Home,2001
2,2001-03-31 19:00:00,1,Western Bulldogs,St Kilda,107,112,Away,2001
3,2001-03-31 19:40:00,1,Fremantle,Carlton,118,119,Away,2001
4,2001-03-31 19:40:00,1,Port Adelaide,Brisbane Lions,99,93,Home,2001
5,2001-04-01 14:10:00,1,Sydney,Adelaide,126,74,Home,2001
6,2001-04-01 14:10:00,1,Geelong,West Coast,115,49,Home,2001
7,2001-04-01 14:10:00,1,Melbourne,Richmond,103,134,Away,2001
8,2001-04-06 19:40:00,2,Essendon,Port Adelaide,145,107,Home,2001
9,2001-04-07 14:10:00,2,Carlton,Hawthorn,81,107,Away,2001
10,2001-04-07 14:10:00,2,Richmond,Western Bulldogs,69,111,Away,2001
11,2001-04-07 19:00:00,2,Collingwood,Fremantle,105,88,Home,2001
12,2001-04-07 19:40:00,2,Adelaide,Melbourne,80,83,Away,2001
13,2001-04-08 14:10:00,2,West Coast,Sydney,89,104,Away,2001
14,2001-04-08 14:10:00,2,St Kilda,Geelong,86,115,Away,2001
15,2001-04-08 14:10:00,2,Brisbane Lions,North Melbourne,118,58,Home,2001
16,2001-04-12 19:40:00,3,Carlton,Essendon,93,76,Home,2001
17,2001-04-14 14:10:00,3,Richmond,Brisbane Lions,116,94,Home,2001
18,2001-04-14 19:00:00,3,Western Bulldogs,Collingwood,81,153,Away,2001
19,2001-04-14 19:40:00,3,North Melbourne,Sydney,71,151,Away,2001
20,2001-04-15 14:10:00,3,Fremantle,Hawthorn,59,82,Away,2001
21,2001-04-15 14:10:00,3,Adelaide,Port Adelaide,88,153,Away,2001
22,2001-04-15 14:10:00,3,St Kilda,West Coast,107,125,Away,2001
23,2001-04-16 14:10:00,3,Melbourne,Geelong,124,104,Home,2001
24,2001-04-20 19:40:00,4,Collingwood,Richmond,71,86,Away,2001
25,2001-04-20 19:40:00,4,Sydney,Essendon,55,102,Away,2001
26,2001-04-21 14:10:00,4,Carlton,Adelaide,53,62,Away,2001
27,2001-04-21 14:10:00,4,Western Bulldogs,Brisbane Lions,140,87,Home,2001
28,2001-04-21 19:40:00,4,Port Adelaide,St Kilda,114,50,Home,2001
29,2001-04-21 20:40:00,4,Fremantle,West Coast,88,112,Away,2001
30,2001-04-22 14:10:00,4,Geelong,North Melbourne,33,53,Away,2001
31,2001-04-22 14:10:00,4,Hawthorn,Melbourne,83,44,Home,2001
32,2001-04-25 14:15:00,5,Essendon,Collingwood,103,95,Home,2001
33,2001-04-27 20:40:00,5,West Coast,Richmond,70,109,Away,2001
34,2001-04-28 14:10:00,5,Carlton,St Kilda,125,92,Home,2001
35,2001-04-28 14:10:00,5,Western Bulldogs,Hawthorn,126,155,Away,2001
36,2001-04-28 19:40:00,5,Adelaide,North Melbourne,90,75,Home,2001
37,2001-04-29 14:10:00,5,Brisbane Lions,Fremantle,171,122,Home,2001
38,2001-04-29 14:10:00,5,Geelong,Port Adelaide,102,148,Away,2001
39,2001-04-29 14:10:00,5,Melbourne,Sydney,119,104,Home,2001
40,2001-05-04 19:40:00,6,North Melbourne,Richmond,78,129,Away,2001
