,Date,Season,Round,Home Team,Home Points By,Winner,Home Season Points By,Home Season Points Against,Home Season Performance,Home Ranking,Home Points By Last 1,Home Points Against Last 1,Home Performance Last 1,Home Points By Last 2,Home Points Against Last 2,Home Performance Last 2,Home Points By Last 3,Home Points Against Last 3,Home Performance Last 3,Home Points By Last 4,Home Points Against Last 4,Home Performance Last 4,Home Points By Last 5,Home Points Against Last 5,Home Performance Last 5,Away Team,Away Points By,Away Season Points By,Away Season Points Against,Away Season Performance,Away Ranking,Away Points By Last 1,Away Points Against Last 1,Away Performance Last 1,Away Points By Last 2,Away Points Against Last 2,Away Performance Last 2,Away Points By Last 3,Away Points Against Last 3,Away Performance Last 3,Away Points By Last 4,Away Points Against Last 4,Away Performance Last 4,Away Points By Last 5,Away Points Against Last 5,Away Performance Last 5
0,2000-03-08 18:40:00,2000,1,Richmond,94,Home,0,0,0,1.0,,,,,,,,,,,,,,,,Melbourne,92,0,0,0,1.0,,,,,,,,,,,,,,,
1,2000-03-09 19:15:00,2000,1,Essendon,156,Home,0,0,0,1.0,,,,,,,,,,,,,,,,Port Adelaide,62,0,0,0,1.0,,,,,,,,,,,,,,,
2,2000-03-10 18:40:00,2000,1,North Melbourne,111,Away,0,0,0,1.0,,,,,,,,,,,,,,,,West Coast,154,0,0,0,1.0,,,,,,,,,,,,,,,
3,2000-03-11 14:20:00,2000,1,Adelaide,108,Away,0,0,0,1.0,,,,,,,,,,,,,,,,Western Bulldogs,131,0,0,0,1.0,,,,,,,,,,,,,,,
4,2000-03-11 19:40:00,2000,1,Fremantle,107,Away,0,0,0,1.0,,,,,,,,,,,,,,,,Geelong,129,0,0,0,1.0,,,,,,,,,,,,,,,
5,2000-03-12 18:40:00,2000,1,St Kilda,100,Away,0,0,0,1.0,,,,,,,,,,,,,,,,Sydney,134,0,0,0,1.0,,,,,,,,,,,,,,,
6,2000-03-13 13:10:00,2000,1,Carlton,152,Home,0,0,0,1.0,,,,,,,,,,,,,,,,Brisbane Lions,112,0,0,0,1.0,,,,,,,,,,,,,,,
7,2000-03-13 13:10:00,2000,1,Hawthorn,86,Away,0,0,0,1.0,,,,,,,,,,,,,,,,Collingwood,140,0,0,0,1.0,,,,,,,,,,,,,,,
8,2000-03-16 18:40:00,2000,2,Essendon,130,Home,156,62,2,2.0,156.0,62.0,2.0,156.0,62.0,2.0,156.0,62.0,2.0,156.0,62.0,2.0,156.0,62.0,2.0,Richmond,87,94,92,2,2.0,94.0,92.0,2.0,94.0,92.0,2.0,94.0,92.0,2.0,94.0,92.0,2.0,94.0,92.0,2.0
9,2000-03-17 18:40:00,2000,2,Melbourne,145,Home,92,94,0,1.0,92.0,94.0,0.0,92.0,94.0,0.0,92.0,94.0,0.0,92.0,94.0,0.0,92.0,94.0,0.0,North Melbourne,120,111,154,0,1.0,111.0,154.0,0.0,111.0,154.0,0.0,111.0,154.0,0.0,111.0,154.0,0.0,111.0,154.0,0.0
10,2000-03-18 13:10:00,2000,2,Geelong,139,Home,129,107,2,2.0,129.0,107.0,2.0,129.0,107.0,2.0,129.0,107.0,2.0,129.0,107.0,2.0,129.0,107.0,2.0,St Kilda,99,100,134,0,1.0,100.0,134.0,0.0,100.0,134.0,0.0,100.0,134.0,0.0,100.0,134.0,0.0,100.0,134.0,0.0
11,2000-03-18 18:40:00,2000,2,Port Adelaide,87,Away,62,156,0,1.0,62.0,156.0,0.0,62.0,156.0,0.0,62.0,156.0,0.0,62.0,156.0,0.0,62.0,156.0,0.0,Fremantle,125,107,129,0,1.0,107.0,129.0,0.0,107.0,129.0,0.0,107.0,129.0,0.0,107.0,129.0,0.0,107.0,129.0,0.0
12,2000-03-19 11:10:00,2000,2,Carlton,154,Home,152,112,2,2.0,152.0,112.0,2.0,152.0,112.0,2.0,152.0,112.0,2.0,152.0,112.0,2.0,152.0,112.0,2.0,Hawthorn,112,86,140,0,1.0,86.0,140.0,0.0,86.0,140.0,0.0,86.0,140.0,0.0,86.0,140.0,0.0,86.0,140.0,0.0
13,2000-03-19 13:10:00,2000,2,Collingwood,103,Home,140,86,2,2.0,140.0,86.0,2.0,140.0,86.0,2.0,140.0,86.0,2.0,140.0,86.0,2.0,140.0,86.0,2.0,Adelaide,92,108,131,0,1.0,108.0,131.0,0.0,108.0,131.0,0.0,108.0,131.0,0.0,108.0,131.0,0.0,108.0,131.0,0.0
14,2000-03-19 18:40:00,2000,2,Western Bulldogs,110,Away,131,108,2,2.0,131.0,108.0,2.0,131.0,108.0,2.0,131.0,108.0,2.0,131.0,108.0,2.0,131.0,108.0,2.0,Brisbane Lions,139,112,152,0,1.0,112.0,152.0,0.0,112.0,152.0,0.0,112.0,152.0,0.0,112.0,152.0,0.0,112.0,152.0,0.0
