Game,Season,Date,Round,HomeTeam,AwayTeam,Winner,SeasonPointsBy,SeasonPointsAgainst,SeasonPerformance,Ranking,PointsBy_Last_1,PointsAgainst_Last_1,Performance_Last_1,PointsBy_Last_2,PointsAgainst_Last_2,Performance_Last_2,PointsBy_Last_3,PointsAgainst_Last_3,Performance_Last_3,PointsBy_Last_4,PointsAgainst_Last_4,Performance_Last_4,PointsBy_Last_5,PointsAgainst_Last_5,Performance_Last_5
11728,2000,2000-03-08,R1,Richmond,Melbourne,Home,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
11729,2000,2000-03-09,R1,Essendon,Port Adelaide,Home,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
11730,2000,2000-03-10,R1,North Melbourne,West Coast,Away,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
11731,2000,2000-03-11,R1,Adelaide,Geelong,Away,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
11732,2000,2000-03-11,R1,Fremantle,Footscray,Away,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
11733,2000,2000-03-12,R1,St Kilda,Sydney,Away,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
11734,2000,2000-03-13,R1,Carlton,Collingwood,Home,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
11735,2000,2000-03-13,R1,Hawthorn,Brisbane Lions,Away,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
11736,2000,2000-03-16,R2,Essendon,Richmond,Home,62.0,-30.0,0.0,0.0,62.0,-30.0,0.0,62.0,-30.0,0.0,62.0,-30.0,0.0,62.0,-30.0,0.0,62.0,-30.0,0.0
11737,2000,2000-03-17,R2,Melbourne,North Melbourne,Home,-19.0,-60.0,0.0,0.0,-19.0,-60.0,0.0,-19.0,-60.0,0.0,-19.0,-60.0,0.0,-19.0,-60.0,0.0,-19.0,-60.0,0.0
11738,2000,2000-03-18,R2,Geelong,St Kilda,Home,29.0,-27.0,2.0,1.0,29.0,-27.0,2.0,29.0,-27.0,2.0,29.0,-27.0,2.0,29.0,-27.0,2.0,29.0,-27.0,2.0
11739,2000,2000-03-18,R2,Port Adelaide,Fremantle,Away,-45.0,27.0,0.0,0.0,-45.0,27.0,0.0,-45.0,27.0,0.0,-45.0,27.0,0.0,-45.0,27.0,0.0,-45.0,27.0,0.0
11742,2000,2000-03-19,R2,Footscray,Sydney,Away,-3.0,8.0,0.0,0.0,-3.0,8.0,0.0,-3.0,8.0,0.0,-3.0,8.0,0.0,-3.0,8.0,0.0,-3.0,8.0,0.0
11743,2000,2000-03-19,R2,West Coast,Brisbane Lions,Away,42.0,-41.0,2.0,1.0,42.0,-41.0,2.0,42.0,-41.0,2.0,42.0,-41.0,2.0,42.0,-41.0,2.0,42.0,-41.0,2.0
